Unique ID;Player;Best Pos;Position;Age;Nation of Birth;Club;Division;Appearances;Minutes;Rating;Playing Time;Transfer Value;Wage;Expires;Height;Preferred Foot;Left Foot;Right Foot;Poss Lost/90;Poss Won/90;Ps C/90;Ps A/90;Pr passes/90;OP-KP/90;Tcon/90;Ch C/90;Pres A/90;Pres C/90;Blk/90;Clr/90;Int/90;Tck/90;Dist/90;Drb/90;Sprints/90;OP-Crs A/90;xSv %;Sv %;CCC;OP-Crs C/90;Hdrs L/90;Hdrs W/90;Cln/90;xA/90;xG/90;xG-OP;NP-xG/90;Fouls Made;Fouls Against;Yel;Red cards;Aer A/90;K Hdrs/90;Crs A/90;Cr C/90;Con/90;Goals per 90 minutes;Saves/90;Tgls/90;MLG;Off;Asts/90;KP/90;xGP/90;Shots From Outside The Box Per 90 minutes;ShT/90;Shot/90;K Tck/90;Shts Blckd/90
2000265398;Carlos Bonilla;M (C);DM, M (C);19;Colombia;Valladolid;Second Division;32 (3);0;-;Scouting Required;Unknown;£230 - £320 p/w;30/6/2026;170 cm;Unknown Footedness;Very Weak;Very Weak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
253310;Álvaro Yuste;D (C);D (C);23;Pays Basque;Melilla;Spanish Federation 1B;6 (1);572;6.73;Surplus to Requirements;£130K;£240 - £270 p/w;30/6/2024;185 cm;Right-Footed;Reasonable;Very Strong;5.0;9.8;63.7;68.1;3.6;0.2;1.3;0.0;3.9;1.3;1.1;2.2;0.9;0.6;10.9;0.0;3.5;0.0;0;0;0;0.0;1.9;2.4;0.0;0.0;0.0;-0.01;0.0;4;0;0;0;4.2;0.5;0.0;0.0;0.0;0.0;0;0.5;0;0;0.0;0.2;0.0;0.0;0.2;0.2;0.3;1.1
253315;Mangel;M (C);D (C), DM, M/AM (C);22;Spain;Ponferrada;Spanish Federation 1A;5 (8);645;6.68;Surplus to Requirements;£30K - £300K;£725 - £850 p/w;30/6/2026;192 cm;Right-Footed;Reasonable;Very Strong;7.4;9.8;45.2;51.6;3.3;0.6;1.7;0.0;7.3;1.8;0.6;1.3;1.0;1.1;12.9;0.8;9.6;0.1;0;0;0;0.0;3.1;4.2;0.0;0.1;0.1;0.39;0.1;6;3;0;0;7.3;0.8;0.1;0.0;0.0;0.1;0;1.0;0;0;0.0;0.6;0.0;0.0;0.4;0.8;0.0;0.1
2000265426;Asier Del Río;M (C);M (C);21;Spain;Sestao;Spanish Federation 1A;0 (6);146;6.38;Scouting Required;£0 - £40K;£110 - £140 p/w;30/6/2024;175 cm;Right-Footed;Reasonable;Very Strong;17.9;6.2;41.9;49.3;3.1;0.6;1.8;0.0;9.9;1.8;0.6;1.2;2.5;0.0;13.1;0.6;8.6;0.0;0;0;0;0.0;2.5;1.8;0.0;0.1;0.0;0;0.0;0;0;0;0;4.3;0.0;0.0;0.0;0.0;0.0;0;0.6;0;0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
2000266884;George Andrews;AM (L);AM (RL), ST (C);19;Spain;A. Baleares;Spanish Federation 1B;0 (3);61;7.70;Scouting Required;£12K;£100 - £140 p/w;30/6/2025;187 cm;Right-Footed;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.58;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000269215;Marc Rodríguez;D (L);D (LC), WB (L);19;Andorra;Sabadell;Spanish Federation 1A;0;0;-;Scouting Required;£8K - £80K;£230 - £340 p/w;30/6/2025;177 cm;Left-Footed;Very Strong;Reasonable;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000269218;Nil Linares;D (R);D/M (R);18;Andorra;F.C. Andorra;Second Division;0;0;-;Scouting Required;£45K - £450K;£360 - £525 p/w;30/6/2025;181 cm;Right-Footed Only;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12094080;Sékou Djambou;M (C);M (C);19;Burkina Faso;Leganés;Second Division;0;0;-;Future Prospect;£110K;£1.3K - £1.5K p/w;30/6/2025;184 cm;Right-Footed;Strong;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13224821;Ben Hamed;AM (C);M/AM (C);21;Cameroon;Mérida;Spanish Federation 1B;0 (1);10;-;Scouting Required;£0;£250 - £360 p/w;30/6/2024;177 cm;Right-Footed;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;-0.01;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000269220;Gerard Solà;ST (C);ST (C);20;Andorra;F.C. Andorra;Second Division;0;0;-;Scouting Required;£0 - £30K;£1K - £1.5K p/w;30/6/2025;185 cm;Right-Footed;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000270525;Raúl de la Rosa;M (C);DM, M (C);20;Spain;Tenerife;Second Division;0;0;-;Scouting Required;£9K - £35K;£230 - £310 p/w;30/6/2024;186 cm;Right-Footed;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18039613;José Antonio Salcedo;GK;GK;33;Spain;Melilla;Spanish Federation 1B;34 (7);390;6.68;Backup;£0;£380 - £450 p/w;30/6/2024;185 cm;Right-Footed Only;Weak;Very Strong;14.8;3.0;7.6;14.1;0.5;0.0;1.4;0.0;0.0;0.0;0.0;12.9;0.2;0.2;4.5;0.0;0.2;0.0;72;57;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;1.4;0.0;1;1.4;0;0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
